"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2006","17,228.7","17,140.9","17,258.6","17,130.9","","0.38%"
"08/14/2006","17,163.3","17,140.5","17,241.9","17,098.2","","0.07%"
"08/11/2006","17,151.2","17,185.3","17,224.4","17,115.4","","-0.37%"
"08/10/2006","17,214.2","17,285.2","17,317.6","17,120.9","","-0.57%"
"08/09/2006","17,312.8","17,305.1","17,367.1","17,215.3","","-0.17%"
"08/08/2006","17,342.4","17,274.3","17,373.2","17,228.5","","0.28%"
"08/07/2006","17,294.2","17,319.4","17,333.0","17,244.3","","-0.22%"
"08/04/2006","17,331.9","17,129.1","17,372.1","17,110.0","","1.02%"
"08/03/2006","17,156.5","17,085.5","17,210.3","17,022.8","","0.35%"
"08/02/2006","17,097.2","17,030.5","17,117.3","17,026.8","","0.18%"
"08/01/2006","17,066.3","16,967.2","17,038.6","16,918.9","","0.47%"
"07/31/2006","16,987.2","16,921.7","16,979.0","16,842.7","","0.23%"
"07/28/2006","16,949.0","16,843.7","16,957.2","16,816.5","","0.60%"
"07/27/2006","16,848.4","16,874.1","16,928.9","16,769.4","","-0.39%"
"07/26/2006","16,914.4","16,752.3","16,880.5","16,688.8","","0.81%"
"07/25/2006","16,778.1","16,933.9","16,957.2","16,741.4","","-1.13%"
"07/24/2006","16,970.4","16,994.1","17,032.7","16,911.0","","-0.19%"
"07/21/2006","17,002.9","16,925.9","17,007.6","16,850.1","","0.37%"
"07/20/2006","16,941.0","17,035.7","17,052.4","16,849.6","","-0.63%"
"07/19/2006","17,048.2","16,878.6","17,057.9","16,840.1","","0.91%"
"07/18/2006","16,893.7","16,902.2","16,926.8","16,796.1","","-0.07%"
"07/17/2006","16,906.3","16,845.3","17,069.4","16,845.3","","0.22%"
"07/14/2006","16,869.6","16,774.9","16,993.2","16,747.6","","0.47%"
"07/13/2006","16,790.5","16,700.4","16,805.0","16,650.9","","0.47%"
"07/12/2006","16,711.8","16,674.3","16,810.5","16,617.7","","0.08%"
"07/11/2006","16,698.4","16,659.1","16,711.2","16,601.1","","0.24%"
"07/10/2006","16,658.8","16,761.9","16,764.6","16,613.0","","-0.69%"
"07/07/2006","16,774.3","16,747.9","16,796.3","16,611.1","","0.12%"
"07/06/2006","16,754.8","16,717.8","16,831.5","16,680.1","","0.17%"
"07/05/2006","16,726.5","16,706.6","16,838.1","16,675.5","","0.00%"
"07/04/2006","16,727.2","16,847.8","16,877.2","16,696.5","","-0.76%"
"07/03/2006","16,855.7","17,108.8","17,119.0","16,810.3","","-1.53%"
"06/30/2006","17,118.0","17,103.4","17,132.9","16,928.4","","0.00%"
"06/29/2006","17,118.7","16,981.2","17,129.7","16,924.2","","0.76%"
"06/28/2006","16,989.9","16,925.5","17,063.3","16,909.7","","0.33%"
"06/27/2006","16,934.1","17,129.0","17,156.2","16,916.2","","-1.25%"
"06/26/2006","17,148.9","17,084.8","17,165.8","17,061.3","","0.22%"
"06/23/2006","17,111.1","17,100.0","17,247.2","17,029.4","","-0.01%"
"06/22/2006","17,112.5","17,273.9","17,281.4","17,083.2","","-0.98%"
"06/21/2006","17,281.8","17,261.4","17,288.6","17,229.0","","-0.01%"
"06/20/2006","17,283.1","17,254.7","17,336.6","17,210.8","","0.06%"
"06/19/2006","17,271.9","17,175.5","17,335.3","17,122.6","","0.47%"
"06/16/2006","17,191.6","17,323.2","17,364.4","17,128.1","","-0.98%"
"06/15/2006","17,362.2","17,437.6","17,459.4","17,235.8","","-0.54%"
"06/14/2006","17,457.2","17,401.2","17,545.5","17,364.9","","0.31%"
"06/13/2006","17,403.9","17,324.0","17,530.7","17,300.5","","0.36%"
"06/12/2006","17,341.5","17,258.1","17,388.4","17,247.8","","0.27%"
"06/09/2006","17,295.3","17,347.3","17,428.4","17,255.1","","-0.45%"
"06/08/2006","17,374.0","17,384.3","17,491.7","17,283.4","","-0.18%"
"06/07/2006","17,404.6","17,355.7","17,491.7","17,344.5","","0.13%"
"06/06/2006","17,382.6","17,358.1","17,538.7","17,331.2","","-0.01%"
"06/05/2006","17,383.8","17,421.4","17,539.8","17,348.8","","-0.25%"
"06/02/2006","17,426.8","17,415.4","17,444.9","17,250.4","","0.02%"
"06/01/2006","17,423.3","17,297.4","17,450.9","17,243.8","","0.67%"
"05/31/2006","17,308.2","17,270.8","17,402.3","17,237.8","","0.00%"
"05/30/2006","17,307.5","17,126.1","17,329.3","17,119.6","","0.96%"
"05/29/2006","17,142.2","17,183.7","17,256.2","17,106.7","","-0.45%"
"05/26/2006","17,220.4","17,523.7","17,545.2","17,138.4","","-1.78%"
"05/25/2006","17,533.2","17,491.0","17,544.4","17,460.2","","0.13%"
"05/24/2006","17,510.2","17,375.1","17,687.9","17,326.1","","0.66%"
"05/23/2006","17,395.7","17,557.7","17,641.8","17,365.8","","-1.13%"
"05/22/2006","17,594.0","17,241.2","17,583.8","17,198.0","","1.79%"
"05/19/2006","17,285.3","17,370.5","17,374.2","17,183.5","","-0.63%"
"05/18/2006","17,394.5","16,896.3","17,571.9","16,881.0","","2.66%"
"05/17/2006","16,944.1","17,333.7","17,336.4","16,868.8","","-2.39%"
"05/16/2006","17,359.7","17,099.8","17,740.7","16,996.5","","1.30%"
"05/15/2006","17,137.7","16,593.5","17,291.6","16,526.9","","3.15%"
"05/12/2006","16,614.5","16,343.4","16,606.3","16,342.6","","1.45%"
"05/11/2006","16,377.7","16,225.8","16,432.8","16,149.5","","0.72%"
